id,h,s,v,hue_values,radio
tr_1,20,50,92,12,33
tr_1,20,46,134,3,34
tr_1,20,49,136,2,34
tr_1,30,32,87,63,34
tr_1,30,33,78,43,33
tr_1,16,55,145,4,34
tr_1,17,42,168,6,34
tr_1,17,44,169,7,35
tr_1,28,27,115,78,34
tr_1,20,52,99,2,34
tr_1,19,44,145,3,34
tr_1,15,48,165,5,34
tr_1,14,49,156,6,34
tr_1,17,46,160,7,35
tr_1,15,44,180,6,34
tr_1,20,44,122,2,34
tr_1,17,40,199,8,34
tr_1,21,50,87,13,34
tr_1,21,50,82,11,33
tr_1,17,41,201,8,34
tr_1,17,43,180,7,35
tr_1,24,41,123,2,35
tr_1,17,44,195,5,35
tr_1,15,53,150,6,34
tr_1,17,52,158,2,34
tr_1,18,39,188,9,34
tr_1,15,43,189,6,33
tr_1,22,39,119,13,35
tr_1,17,41,173,5,34
tr_1,18,46,150,3,35
tr_1,15,44,178,6,34
tr_1,39,30,85,64,35
tr_1,19,43,196,4,36
tr_1,17,48,169,5,35
tr_1,17,43,173,8,35
tr_1,18,40,179,6,35
tr_1,33,34,82,47,34
tr_1,17,44,167,5,35
tr_1,17,48,164,4,35
tr_1,16,45,158,1,34
tr_1,17,48,163,5,34
tr_1,16,43,182,6,34
tr_1,28,37,89,42,35
tr_1,25,42,73,73,33
tr_1,19,47,184,3,35
tr_1,18,50,153,3,34
tr_1,18,47,145,5,34
tr_1,18,52,181,3,35
tr_1,26,45,80,40,34
tr_1,26,40,90,55,34
tr_1,22,51,110,17,34
tr_1,18,48,186,3,34
tr_1,17,50,175,3,34
tr_1,18,47,164,5,34
tr_1,22,47,119,12,35
tr_1,22,57,111,19,35
tr_1,24,44,82,51,33
tr_1,23,43,100,42,34
tr_1,17,42,170,6,34
tr_1,19,48,133,2,34
tr_1,20,49,151,2,34
tr_1,18,45,199,3,35
tr_1,23,49,94,9,34
tr_1,24,49,78,30,33
tr_1,19,35,102,43,30
tr_1,17,41,173,7,35
tr_1,19,47,186,4,35
tr_1,22,51,95,8,34
tr_1,19,48,132,4,34
tr_1,17,44,213,4,34
tr_1,26,49,78,19,34
tr_1,24,40,103,57,33
tr_1,20,44,173,4,35
tr_1,19,42,151,6,35
tr_1,18,48,163,4,34
tr_1,17,49,189,3,34
tr_1,17,49,188,4,35
tr_1,23,46,99,12,34
tr_1,21,52,84,12,33
tr_1,17,43,167,7,35
tr_1,19,48,148,3,35
tr_1,19,44,197,4,36
tr_1,17,44,190,4,34
tr_1,23,52,103,5,36
tr_1,19,45,188,3,36
tr_1,17,49,201,5,34
tr_1,17,42,169,8,35
tr_1,17,45,206,4,34
tr_1,18,48,201,5,34
tr_1,17,46,188,4,34
tr_1,23,53,77,11,33
tr_1,17,50,159,2,34
tr_1,24,41,87,5,32
tr_1,20,48,153,3,35
tr_1,19,43,148,4,34
tr_1,22,55,84,12,34
tr_1,18,46,190,3,34
tr_1,26,43,89,40,34
tr_1,21,51,105,4,35
tr_1,18,49,204,5,34
tr_2,18,51,134,4,38
tr_2,22,42,110,1,38
tr_2,21,49,99,1,38
tr_2,18,51,161,0,38
tr_2,18,51,135,4,38
tr_2,18,54,114,3,38
tr_2,20,57,98,2,37
tr_2,19,45,160,3,40
tr_2,16,48,161,5,38
tr_2,18,55,111,3,38
tr_2,15,54,176,2,37
tr_2,18,53,121,4,38
tr_2,23,45,97,1,38
tr_2,15,58,158,3,37
tr_2,17,53,178,2,38
tr_2,21,46,105,3,38
tr_2,26,45,85,6,38
tr_2,16,56,154,3,37
tr_2,18,47,157,1,37
tr_2,17,57,180,1,37
tr_2,19,48,154,1,38
tr_2,18,54,179,3,39
tr_2,17,57,153,2,37
tr_2,24,48,85,3,37
tr_2,19,48,155,3,38
tr_2,17,53,178,3,38
tr_2,20,51,174,4,40
tr_2,17,65,142,3,37
tr_2,19,51,144,1,38
tr_2,21,62,94,3,37
tr_2,20,58,102,0,39
tr_2,16,54,165,3,38
tr_2,21,58,92,3,38
tr_2,18,45,148,3,38
tr_2,18,63,102,2,37
tr_2,17,53,173,3,38
tr_2,19,49,150,3,38
tr_2,18,55,102,2,38
tr_2,19,54,117,0,37
tr_2,20,52,99,3,39
tr_2,20,52,113,1,38
tr_2,15,45,182,2,38
tr_2,16,52,183,5,40
tr_2,20,48,96,1,37
tr_2,18,42,175,4,40
tr_2,18,54,137,3,38
tr_2,17,49,178,2,38
tr_2,23,47,151,4,41
tr_2,19,52,133,2,37
tr_2,22,52,94,3,37
tr_2,16,46,176,1,38
tr_2,17,53,183,1,38
tr_2,21,48,153,3,40
tr_2,17,50,184,3,40
tr_2,19,48,143,3,38
tr_2,17,58,162,3,37
tr_2,19,50,162,2,40
tr_2,21,47,113,2,38
tr_2,17,45,175,3,39
tr_2,20,46,165,4,41
tr_2,20,48,133,3,39
